age,average.intercept,average.rsquared,average.slope,pid,removed_elecs,sex
37,-23.99516104875589,0.5779838943689823,-0.023857823599110227,CC221977,4,1
34,-24.061354703348098,0.6120294895121585,-0.024254766063265227,CC221980,12,1
37,-23.698094669402117,0.48599674422135125,-0.02190450339621535,CC222120,9,1
34,-24.280606218216587,0.3531584678138862,-0.015549470111636775,CC222125,39,1
32,-24.08646646946938,0.6886087186088629,-0.025769726179467826,CC222185,10,1
35,-23.96039729748344,0.5047993971686812,-0.022312848007569525,CC222258,13,1
37,-24.083703783154295,0.7219141830705197,-0.03607118698173394,CC222264,14,1
38,-24.066361050372098,0.48059511193125193,-0.019521702144260314,CC222304,11,1
35,-24.027021527899723,0.7353197989399636,-0.03707724856853129,CC222326,11,1
37,-24.127298539656984,0.7144996835179864,-0.02913202083354817,CC222367,5,1
38,-23.777765788291724,0.7845573632628279,-0.036106058674835295,CC222496,5,1
29,-23.49021748864614,0.7735384107398059,-0.04666985557598325,CC222555,0,1
30,-24.245576959851793,0.7537870992253954,-0.029309210615176527,CC222652,17,1
31,-23.204765930378553,0.8687368065502652,-0.055149798220482306,CC222797,0,1
32,-23.81968050752735,0.6079078469297355,-0.02557828256259137,CC222956,12,1
36,-24.23926128569765,0.5711764481691749,-0.020350199893711337,CC223286,12,1
45,-23.77904413064966,0.8396450715187218,-0.03779260711777928,CC310008,2,1
42,-24.062970969968422,0.4014810859374828,-0.01583571206585953,CC310051,56,1
40,-23.966602260227035,0.7274401609827694,-0.026676828271130996,CC310129,5,1
42,-23.378967913373863,0.8429015030041469,-0.04462129825101014,CC310135,1,1
48,-24.17801670642692,0.41402339333654,-0.017524919181670713,CC310142,12,1
41,-23.758195347099274,0.3379213413056349,-0.01753152207740265,CC310160,83,1
39,-24.085745637133943,0.4704902576060169,-0.022625261855388983,CC310203,8,1
46,-23.88752758004795,0.6874762487999195,-0.029136459584794727,CC310214,2,1
47,-23.3582694100185,0.8743033312237123,-0.05479057852041127,CC310224,5,1
46,-23.964536047946865,0.3006246636693699,-0.015885805893264045,CC310331,16,1
43,-24.066475482629734,0.4360873298788558,-0.016760747361502876,CC310361,23,1
48,-23.79463179834372,0.7720935298555807,-0.03888920460786941,CC310385,7,1
41,-24.273282415575476,0.5420148896043907,-0.024261726729105537,CC310391,13,1
41,-24.01003713844854,0.5513096277684312,-0.020647622858473876,CC310397,7,1
43,-23.838875818573467,0.5711474333084774,-0.024071591654698563,CC310400,11,1
41,-24.124001139829105,0.5311285854375444,-0.020662459194885685,CC310410,19,1
40,-23.681147164276318,0.4243745091506637,-0.019161226856089553,CC310414,22,1
45,-23.118416250516876,0.8186775843099157,-0.04586821050019729,CC310463,2,1
46,-23.936660010889184,0.6828634851211332,-0.031131605063212376,CC310473,7,1
47,-23.894156564073043,0.3621841127238239,-0.018832022250852235,CC312058,14,1
45,-24.120930145223433,0.643650258803377,-0.027290299333113676,CC312149,11,1
40,-23.91047079079705,0.7543073143327503,-0.0367334919972502,CC320022,15,1
48,-23.597773964071735,0.9221340597969773,-0.05587850707592465,CC320059,7,1
41,-24.025836584061846,0.5221207760739002,-0.023243435873147544,CC320088,10,1
47,-24.20805147379697,0.26357442773522893,-0.009707534048503042,CC320089,59,1
47,-24.204018047654802,0.23232075903581476,-0.010845695489038002,CC320107,70,1
48,-24.28106610751046,0.44509336595886323,-0.018739777042860725,CC320160,20,1
47,-23.98769077662902,0.7002192602689272,-0.03040995935797781,CC320218,14,1
38,-23.53224032955171,0.8667401957556191,-0.05214226508433841,CC320267,10,1
40,-24.109638547872752,0.45317167026919963,-0.02039669464992595,CC320297,3,1
40,-23.91653228380831,0.8232749227869666,-0.034733881638464234,CC320321,8,1
44,-23.83730493796567,0.809188381398947,-0.038356774928086645,CC320325,10,1
44,-24.195716557285582,0.6619092955406733,-0.025639474698636578,CC320336,9,1
48,-23.69322727632217,0.6039616318034776,-0.030609604016407846,CC320379,2,1
39,-23.890704771848405,0.38745505450062073,-0.01608272977938319,CC320417,11,1
45,-23.989170746342026,0.6815113277938808,-0.0325121348614567,CC320428,9,1
48,-23.679782070189297,0.5301155478859976,-0.029410136383980358,CC320429,5,1
42,-24.14185333080356,0.41658197814902936,-0.017154942809583885,CC320448,43,1
42,-23.84532528792772,0.7484241940990594,-0.034110549137847126,CC320461,9,1
40,-23.530000346889352,0.7921098969802751,-0.04116871334882625,CC320478,11,1
46,-23.96598653763095,0.6099007361752854,-0.0226593966993727,CC320500,9,1
48,-23.61096851087218,0.7141958972266397,-0.031367769381833284,CC320553,2,1
44,-23.341941095255763,0.8628124600680213,-0.07107433049924884,CC320568,11,1
39,-23.8244571841747,0.5532375335235277,-0.030735874387443587,CC320575,12,1
39,-23.795630915981928,0.74009928105358,-0.035460545768979536,CC320616,5,1
